numbers, valid, location
(665) 600-9044, false, n/a
(261) 872-8021, false, n/a
(692) 238-8354, false, n/a
(915) 612-3196, true, Texas
(297) 529-7696, false, n/a
(520) 815-5811, true, Arizona
(888) 931-5885, true, 
(778) 621-2242, true, British Columbia
(569) 552-2601, false, n/a
(289) 899-5437, true, Ontario
(924) 578-1221, false, n/a
(488) 623-5887, false, n/a
(528) 759-1572, false, n/a
(467) 713-7769, false, n/a
(250) 963-0555, true, Prince George, BC
(509) 878-4353, true, Washington State
(529) 747-8654, false, n/a
(986) 515-4085, true, Idaho
(342) 448-6751, false, n/a
(928) 925-4718, true, Arizona
(203) 285-3842, true, Connecticut
(906) 482-8457, true, Michigan
(865) 569-2970, true, Tennessee
(585) 322-2308, true, New York
(309) 464-9214, true, Illinois
(435) 298-9119, true, Utah
(332) 841-3712, true, New York, NY
(980) 903-9215, true, North Carolina
(426) 511-9892, false, n/a
(347) 888-4290, true, New York
(406) 470-4217, true, Montana
(332) 680-2938, true, New York, NY
(305) 382-7419, true, Miami, FL
(942) 572-3268, false, n/a
(913) 395-8746, true, Kansas
(945) 493-0168, false, n/a
(336) 515-5576, true, North Carolina
(887) 681-7401, false, n/a
(746) 998-6020, false, n/a
(523) 396-1320, false, n/a
(578) 643-8520, false, n/a
(898) 326-1985, false, n/a
(725) 610-7263, true, Nevada
(437) 572-3425, true, Ontario
(928) 363-8684, true, Arizona
(605) 622-5991, true, Aberdeen, SD
(355) 788-9447, false, n/a
(271) 677-3308, false, n/a
(572) 623-9960, false, n/a
(374) 913-6521, false, n/a
(352) 890-0557, true, Florida
(839) 843-8332, false, n/a
(261) 998-4204, false, n/a
(759) 680-5096, false, n/a
(241) 775-9272, false, n/a
(876) 261-7867, true, Jamaica
(309) 591-1948, true, Illinois
(363) 504-0293, false, n/a
(315) 666-4525, true, New York
(425) 834-6677, true, Washington State
(570) 825-0215, true, Wilkes-Barre, PA
(674) 787-6777, false, n/a
(460) 818-8822, false, n/a
(513) 777-0831, true, West Chester, OH
(553) 291-7871, false, n/a
(459) 477-0152, false, n/a
(866) 485-2597, true, 
(517) 587-0332, true, Michigan
(769) 882-9916, true, Mississippi
(627) 506-3632, false, n/a
(956) 395-6414, true, Texas
(790) 622-3180, false, n/a
(975) 449-6788, false, n/a
(845) 749-4374, true, New York
(720) 694-8614, true, Colorado
(519) 795-9965, true, Ontario
(809) 787-3446, true, Dominican Republic
(640) 882-7826, true, New Jersey
(232) 728-4954, false, n/a
(570) 578-2928, true, Pennsylvania
(837) 406-4775, false, n/a
(762) 792-8129, true, Georgia
(596) 274-2292, false, n/a
(682) 980-8590, true, Texas
(882) 889-3347, false, n/a
(550) 478-4552, false, n/a
(929) 334-4891, true, New York
(402) 858-5466, true, Nebraska
(354) 832-9525, false, n/a
(986) 876-5342, true, Idaho
(715) 671-3357, true, Wisconsin
(871) 614-4200, false, n/a
(273) 734-5615, false, n/a
(391) 833-6655, false, n/a
(992) 290-5928, false, n/a
(350) 738-0571, false, n/a
(797) 381-0235, false, n/a
(938) 842-2579, true, Alabama
(797) 317-0869, false, n/a
(596) 939-9772, false, n/a
(590) 687-3082, false, n/a
(925) 816-1952, true, California
(486) 646-0347, false, n/a
(460) 371-3846, false, n/a
(612) 999-3567, true, Minnesota
(558) 511-5946, false, n/a
(245) 844-5239, false, n/a
(603) 529-0605, true, Weare, NH
(527) 358-6102, false, n/a
(474) 879-3780, false, n/a
(866) 211-7827, true, 
(398) 608-1016, false, n/a
(460) 661-0927, false, n/a
(423) 464-0692, true, Tennessee
(505) 654-5240, true, New Mexico
(667) 359-5701, true, Maryland
(849) 641-5289, true, Dominican Republic
(760) 424-4617, true, California
(963) 792-3430, false, n/a
(548) 613-8899, true, Ontario
(867) 685-5199, true, Northwest Territories/Nunavut/Yukon
(723) 524-6295, false, n/a
(727) 674-3420, true, Florida
(570) 331-7571, true, Kingston, PA
(773) 494-0713, true, Chicago, IL
(353) 944-9077, false, n/a
(431) 232-2855, true, Manitoba
(630) 602-0063, true, Illinois
(464) 266-9843, false, n/a
(708) 689-4285, true, Illinois
(353) 430-9613, false, n/a
(890) 328-5480, false, n/a
(775) 367-6358, true, Nevada
(937) 370-1386, true, Ohio
(428) 903-2471, false, n/a
(685) 735-6840, false, n/a
(681) 856-9417, true, West Virginia
(241) 684-0350, false, n/a
(769) 315-2878, true, Mississippi
(685) 385-5632, false, n/a
(959) 947-4406, true, Connecticut
(697) 496-0540, false, n/a
(275) 799-2298, false, n/a
(625) 440-2861, false, n/a
(655) 974-2287, false, n/a
(351) 700-1450, true, Massachusetts
(348) 530-4673, false, n/a
(923) 917-2499, false, n/a
(241) 580-9396, false, n/a
(822) 568-6082, false, n/a
(652) 317-2864, false, n/a
(907) 760-3165, true, Alaska
(404) 297-5596, true, Georgia
(215) 778-8436, true, Pennsylvania
(401) 591-3699, true, Rhode Island
(605) 855-9554, true, South Dakota
(598) 931-0662, false, n/a
(972) 586-3711, true, Texas
(963) 507-6309, false, n/a
(956) 928-5428, true, McAllen, TX
(905) 434-2399, true, Oshawa, ON
(475) 610-9920, true, Connecticut
(571) 807-6004, true, Virginia
(779) 861-4123, true, Illinois
(944) 395-9951, false, n/a
(993) 800-1969, false, n/a
(784) 967-1286, false, n/a
(207) 710-3791, true, Maine
(379) 705-9173, false, n/a
(944) 358-5581, false, n/a
(972) 395-7123, true, Carrollton, TX
(272) 882-7496, true, Pennsylvania
(531) 880-5495, true, Nebraska
(453) 303-8162, false, n/a
(437) 532-2545, true, Ontario
(799) 867-7659, false, n/a
(420) 370-5228, false, n/a
(635) 728-9711, false, n/a
(969) 447-7231, false, n/a
(902) 356-3841, true, Nova Scotia/Prince Edward Island
(340) 262-0782, false, n/a
(317) 389-4054, true, Indiana
(737) 290-9345, true, Texas
(769) 625-7662, true, Mississippi
(620) 420-2489, true, Kansas
(827) 796-5792, false, n/a
(499) 740-7083, false, n/a
(811) 417-9079, false, n/a
(694) 532-7557, false, n/a
(713) 686-7768, true, Houston, TX
(896) 293-2053, false, n/a
(552) 996-3136, false, n/a
(653) 866-8471, false, n/a
(704) 746-4087, true, North Carolina
(490) 419-8546, false, n/a
(466) 887-8227, false, n/a
(306) 871-4455, true, Saskatchewan
(789) 673-3932, false, n/a
(436) 364-6251, false, n/a
(592) 383-6815, false, n/a
(740) 603-6052, true, Ohio
(398) 338-7102, false, n/a
(772) 330-3137, true, Florida
(962) 661-0461, false, n/a
(626) 953-1097, true, California
(642) 345-4057, false, n/a
(772) 572-4173, true, Florida
(518) 477-2844, true, New York
(421) 305-7272, false, n/a
(545) 917-2371, false, n/a
(836) 993-2433, false, n/a
(683) 802-7866, false, n/a
(577) 364-3293, true, 
(640) 941-0621, true, New Jersey
(554) 415-6884, false, n/a
(899) 649-8496, false, n/a
(217) 937-7290, true, Illinois
(305) 668-1350, true, Miami, FL
(866) 493-5051, true, 
(942) 695-7834, false, n/a
(228) 818-3461, true, Ocean Springs, MS
(475) 633-3252, true, Connecticut
(813) 698-4203, true, Florida
(687) 567-7305, false, n/a
(796) 988-9602, false, n/a
(452) 217-0048, false, n/a
(643) 663-1730, false, n/a
(848) 234-8009, true, New Jersey
(752) 454-5616, false, n/a
(371) 632-2439, false, n/a
(320) 206-1221, true, Minnesota
(945) 366-2240, false, n/a
(589) 915-6939, false, n/a
(741) 710-2355, false, n/a
(522) 207-9467, true, 
(325) 384-2018, true, Texas
(901) 907-3499, true, Tennessee
(205) 996-0770, true, Birmingham, AL
(394) 486-8032, false, n/a
(839) 446-4571, false, n/a
(665) 890-0407, false, n/a
(768) 803-5781, false, n/a
(753) 424-1830, false, n/a
(616) 610-5054, true, Michigan
(218) 286-3952, true, Minnesota
(395) 865-0359, false, n/a
(960) 806-4458, false, n/a
(582) 466-0577, false, n/a
(690) 600-0370, false, n/a
(508) 824-7216, true, Taunton, MA
(547) 209-9975, false, n/a
(635) 272-3681, false, n/a
(234) 437-2744, true, Ohio
(746) 428-1984, false, n/a
(920) 854-3935, true, Sister Bay, WI
(414) 286-6642, true, Milwaukee, WI
(866) 727-3286, true, 
(854) 346-7924, true, Ohio
(233) 965-8459, false, n/a
(316) 449-7680, true, Kansas
(374) 766-0931, false, n/a
(942) 527-9579, false, n/a
(840) 802-0533, false, n/a
(761) 496-9321, false, n/a
(592) 657-6217, false, n/a
(758) 442-3827, false, n/a
(341) 954-9418, true, California
(284) 609-5802, false, n/a
(271) 338-4610, false, n/a
(920) 541-8102, true, Wisconsin
(227) 673-7465, false, n/a
(576) 433-4445, false, n/a
(973) 830-2680, true, New Jersey
(284) 655-7442, false, n/a
(449) 495-8035, false, n/a
(460) 802-4446, false, n/a
(907) 562-4373, true, Anchorage, AK
(700) 563-4021, false, n/a
(903) 365-2303, true, Texas
(882) 455-0831, false, n/a
(313) 475-8965, true, Michigan
(373) 976-0060, false, n/a
(996) 690-2734, false, n/a
(475) 987-0069, true, Connecticut
(678) 821-3628, true, Georgia
(327) 246-9291, false, n/a
(826) 354-9583, false, n/a
(692) 307-5495, false, n/a
(691) 782-9752, false, n/a
(817) 273-8288, true, Texas
(632) 350-7413, false, n/a
(849) 304-1176, true, Dominican Republic
(355) 354-3815, false, n/a
(432) 698-7158, true, Texas
(548) 666-5046, true, Ontario
(681) 882-3744, true, West Virginia
(282) 238-9503, false, n/a
(866) 845-8042, true, 
(893) 225-1751, false, n/a
(716) 421-8185, true, New York
(600) 993-5743, true, Canada
(241) 563-7850, false, n/a
(803) 609-0850, true, South Carolina
(383) 230-5592, false, n/a
(713) 320-6537, true, Texas
(357) 431-6762, false, n/a
(364) 340-9836, true, Kentucky
(820) 998-1522, true, California
(352) 429-1586, true, Groveland, FL
(848) 394-6272, true, New Jersey
(448) 388-9522, false, n/a
(932) 707-6957, false, n/a
(868) 732-0941, true, Trinidad & Tobago
(509) 444-0543, true, Spokane, WA
(941) 778-6131, true, Florida
(863) 226-7392, true, Florida
(646) 296-1876, true, New York
(777) 521-5703, false, n/a
(799) 853-0380, false, n/a
(996) 551-1046, false, n/a
(609) 703-2219, true, New Jersey
(704) 857-4259, true, China Grove, NC
(630) 496-9000, true, Illinois
(913) 420-8256, true, Kansas
(889) 807-3824, false, n/a
(770) 377-8392, true, Georgia
(611) 408-6776, false, n/a
(242) 888-1914, false, n/a
(705) 708-6457, true, Ontario
(476) 767-2155, false, n/a
(789) 211-8023, false, n/a
(218) 397-5874, true, Minnesota
(532) 925-0406, false, n/a
(494) 716-1757, false, n/a
(996) 467-1379, false, n/a
(596) 625-2360, false, n/a
(683) 892-5894, false, n/a
(823) 664-8462, false, n/a
(249) 692-8952, true, Ontario
(691) 781-0770, false, n/a
(583) 608-4058, false, n/a
(371) 698-4027, false, n/a
(231) 449-3602, true, Michigan
(735) 645-3761, false, n/a
(718) 682-1498, true, New York
(960) 787-2338, false, n/a
(397) 263-5416, false, n/a
(492) 508-8230, false, n/a
(835) 968-1569, false, n/a
(630) 767-9085, true, Illinois
(848) 989-5349, true, New Jersey
(467) 643-0683, false, n/a
(378) 933-0043, false, n/a
(714) 540-7734, true, California
(258) 556-1083, false, n/a
(220) 248-7571, true, Ohio
(319) 593-7275, true, Iowa
(912) 271-7187, true, Georgia
(295) 401-5489, false, n/a
(286) 712-0189, false, n/a
(492) 562-9922, false, n/a
(726) 669-4733, true, San Antonio, TX
(484) 756-9986, true, Pennsylvania
(608) 543-4970, true, Wisconsin
(679) 643-4271, false, n/a
(884) 430-3808, false, n/a
(387) 785-4669, false, n/a
(761) 703-8183, false, n/a
(527) 470-6626, false, n/a
(704) 505-7314, true, North Carolina
(286) 356-2268, false, n/a
(558) 619-0690, false, n/a
(563) 824-6198, true, Iowa
(243) 828-6648, false, n/a
(731) 968-3776, true, Lexington, TN
(659) 524-0918, false, n/a
(547) 646-5914, false, n/a
(829) 400-5137, true, Dominican Republic
(378) 970-0494, false, n/a
(361) 311-0684, true, Texas
(243) 258-4396, false, n/a
(707) 366-3178, true, California
(703) 859-5287, true, Virginia
(977) 463-6776, false, n/a
(994) 931-6875, false, n/a
(876) 750-4007, true, Jamaica
(806) 538-1702, true, Texas
(213) 397-0149, true, Los Angeles, CA
(763) 264-1478, true, Minnesota
(521) 444-0324, true, 
(840) 762-7611, false, n/a
(674) 973-0078, false, n/a
(350) 978-3925, false, n/a
(638) 870-7735, false, n/a
(218) 568-7571, true, Pequot Lakes, MN
(944) 872-3452, false, n/a
(654) 358-9689, false, n/a
(441) 950-8170, false, n/a
(436) 644-4119, false, n/a
(436) 479-2383, false, n/a
(842) 875-1674, false, n/a
(921) 309-2857, false, n/a
(647) 789-1727, true, Ontario
(510) 292-7279, true, California
(910) 637-9631, true, North Carolina
(934) 731-4520, true, New York, NY
(450) 779-7476, true, Quebec
(951) 407-9738, true, California
(558) 560-3250, false, n/a
(867) 378-8585, true, Northwest Territories/Nunavut/Yukon
(451) 712-6496, false, n/a
(211) 635-1691, false, n/a
(947) 475-4975, true, Michigan
(436) 776-8029, false, n/a
(233) 694-5889, false, n/a
(495) 879-1224, false, n/a
(481) 566-2987, false, n/a
(805) 408-0315, true, California
(515) 686-7293, true, Iowa
(427) 813-3007, false, n/a
(525) 345-6826, false, n/a
(490) 265-1630, false, n/a
(276) 440-4484, true, Virginia
(971) 433-2870, true, Oregon
(812) 357-7058, true, Indiana
(755) 541-7760, false, n/a
(794) 524-6871, false, n/a
(882) 539-3220, false, n/a
(202) 725-6611, true, Washington D.C.
(742) 524-0588, false, n/a
(455) 333-2031, false, n/a
(370) 954-2350, false, n/a
(529) 856-2171, false, n/a
(645) 923-1210, false, n/a
(223) 372-5963, true, Pennsylvania
(840) 750-5100, false, n/a
(631) 950-6786, true, New York
(933) 721-9004, false, n/a
(825) 580-7471, true, Alberta
(291) 708-0942, false, n/a
(785) 842-7047, true, Lawrence, KS
(440) 431-9127, true, Ohio
(256) 778-1711, true, Somerville, AL
(234) 983-3346, true, Ohio
(730) 930-3938, false, n/a
(328) 969-5260, false, n/a
(401) 284-0667, true, Rhode Island
(705) 443-6453, true, Collingwood, ON
(759) 620-1939, false, n/a
(717) 819-2642, true, Pennsylvania
(480) 374-5045, true, Arizona
(868) 833-9656, false, n/a
(399) 371-4361, false, n/a
(807) 811-7529, true, Ontario
(527) 511-5883, false, n/a
(736) 766-9235, false, n/a
(302) 866-1644, true, Delaware
(814) 725-2482, true, North East, PA
(597) 356-4348, false, n/a
(621) 532-7566, false, n/a
(975) 658-8769, false, n/a
(402) 292-0051, true, Bellevue, NE
(419) 636-9721, true, Bryan, OH
(450) 236-6574, true, Quebec
(833) 772-4639, true, 
(829) 333-4082, true, Dominican Republic
(491) 734-1991, false, n/a
(984) 366-3177, true, North Carolina
(448) 971-1939, false, n/a
(529) 968-6892, false, n/a
(415) 465-6890, true, California
(697) 919-0513, false, n/a
(556) 872-9506, false, n/a
(764) 259-7673, false, n/a
(530) 771-0735, true, California
(872) 684-0685, true, Chicago, IL
(391) 674-0276, false, n/a
(791) 422-2154, false, n/a
(902) 210-5961, true, Nova Scotia/Prince Edward Island
(212) 230-8181, true, New York, NY
(589) 674-6708, false, n/a
(895) 622-1958, false, n/a
(383) 889-9806, false, n/a
(362) 591-0195, false, n/a
(515) 781-4721, true, Iowa
(798) 628-8193, false, n/a
(857) 976-9526, true, Massachusetts
(893) 891-8969, false, n/a
(368) 633-9258, false, n/a
(838) 642-8234, true, New York
(330) 565-6942, true, Ohio
(801) 803-1796, true, Utah
(592) 699-4621, false, n/a
(503) 539-5566, true, Oregon
(200) 468-1193, false, n/a
(998) 870-1392, false, n/a
(217) 650-4158, true, Illinois
(529) 338-1939, false, n/a
(314) 577-3884, true, St. Louis, MO
(786) 683-2177, true, Florida
(231) 808-5677, true, Michigan
(438) 511-9779, true, Quebec
(316) 283-8821, true, Newton, KS
(280) 653-8857, false, n/a
(502) 670-1502, true, Kentucky
(256) 293-8678, true, Alabama
(827) 679-4775, false, n/a
(957) 420-1635, false, n/a
(206) 514-6683, true, Washington State
(761) 294-8938, false, n/a
(614) 744-8516, true, Ohio
(283) 793-1591, true, Ohio
(983) 422-0064, false, n/a
(424) 601-2497, true, California
(703) 931-2818, true, Virginia
(533) 255-8935, true, 
(745) 406-1164, false, n/a
(567) 946-9022, true, Ohio
(728) 696-1543, false, n/a
(818) 962-1907, true, California
(226) 393-2304, true, Ontario
(814) 917-1773, true, Pennsylvania
(912) 433-8842, true, Georgia
(736) 315-6630, false, n/a
(592) 533-5867, false, n/a
(798) 460-0572, false, n/a
(856) 346-6146, true, New Jersey
(375) 304-8881, false, n/a
(847) 497-6557, true, Illinois
(469) 223-6770, true, Texas
(856) 660-1985, true, New Jersey
(599) 402-6270, false, n/a
(428) 351-2854, false, n/a
(913) 616-9701, true, Kansas
(681) 310-3109, true, West Virginia
(757) 915-3865, true, Virginia
(872) 380-8705, true, Chicago, IL
(237) 596-1951, false, n/a
(486) 489-1179, false, n/a
(469) 301-6147, true, Texas
(461) 553-5080, false, n/a
(982) 314-0929, false, n/a
(936) 758-2196, true, Texas
(484) 469-4820, true, Pennsylvania
(308) 449-6218, true, Nebraska
(202) 390-9639, true, Washington D.C.
(844) 640-6056, true, 
(935) 771-8410, false, n/a
(777) 421-5368, false, n/a
(820) 440-4104, true, California
(334) 521-4339, true, Alabama
(980) 233-0803, true, North Carolina
(393) 252-1674, false, n/a
(938) 904-3469, true, Alabama
(309) 901-3402, true, Illinois
(435) 928-3517, true, Utah
(875) 930-0935, false, n/a
(544) 918-3810, true, 
(576) 595-7314, false, n/a
(514) 695-1542, true, Pointe-Claire, QC
(992) 476-9415, false, n/a
(294) 677-0363, false, n/a
(658) 823-9292, true, Jamaica
(332) 686-3235, true, New York, NY
(843) 740-2964, true, North Charleston, SC
(576) 270-5432, false, n/a
(868) 903-1596, false, n/a
(299) 206-5231, false, n/a
(313) 828-1004, true, Michigan
(561) 853-5042, true, Florida
(613) 488-8736, true, Ontario
(949) 233-3762, true, California
(214) 440-5057, true, Texas
(703) 800-5284, true, Virginia
(997) 401-2537, false, n/a
(243) 794-4502, false, n/a
(848) 908-3347, true, New Jersey
(507) 965-8943, true, Minnesota
(315) 786-8996, true, Watertown, NY
(277) 365-1512, false, n/a
(638) 661-7880, false, n/a
(763) 751-0692, true, Minnesota
(309) 485-9474, true, Illinois
(736) 628-5254, false, n/a
(613) 820-2639, true, Ontario
(588) 752-4652, true, 
(532) 703-6564, false, n/a
(975) 587-3202, false, n/a
(324) 711-7566, false, n/a
(237) 821-0464, false, n/a
(900) 591-7740, true, 
(375) 216-7692, false, n/a
(421) 780-9593, false, n/a
(543) 742-2703, false, n/a
(328) 680-7813, false, n/a
(576) 950-7583, false, n/a
(248) 796-7894, true, Southfield, MI
(924) 427-7332, false, n/a
(607) 253-9274, true, New York
(219) 317-0544, true, Indiana
(849) 998-4530, true, Dominican Republic
(490) 812-8218, false, n/a
(309) 735-6783, true, Illinois
(414) 542-9704, true, Wisconsin
(738) 460-6465, false, n/a
(758) 423-6168, false, n/a
(991) 348-1767, false, n/a
(835) 869-9331, false, n/a
(486) 261-2736, false, n/a
(244) 869-7598, false, n/a
(238) 457-7347, false, n/a
(596) 267-6165, false, n/a
(433) 706-6569, false, n/a
(690) 583-1598, false, n/a
(701) 532-3560, true, North Dakota
(965) 646-7191, false, n/a
(660) 397-8896, true, Edina, MO
(486) 502-7735, false, n/a
(607) 565-8936, true, Waverly, NY
(388) 496-6004, false, n/a
(566) 708-7634, true, 
(833) 827-4953, true, 
(850) 410-0620, true, Florida
(560) 951-6961, false, n/a
(595) 809-9052, false, n/a
(766) 236-2472, false, n/a
(822) 558-7268, false, n/a
(394) 998-7445, false, n/a
(524) 370-7967, false, n/a
(749) 549-4838, false, n/a
(763) 350-4698, true, Minnesota
(458) 901-1891, true, Oregon
(731) 472-2986, true, Tennessee
(314) 793-9265, true, Missouri
(207) 667-0960, true, Ellsworth, ME
(937) 794-2573, true, Ohio
(924) 516-8660, false, n/a
(626) 580-3237, true, California
(810) 661-1655, true, Michigan
(945) 784-3212, false, n/a
(473) 918-2489, false, n/a
(988) 887-4614, false, n/a
(623) 714-3614, true, Arizona
(710) 484-4668, true, United States
(299) 885-7479, false, n/a
(508) 853-9520, true, Worcester, MA
(995) 223-1343, false, n/a
(998) 963-1298, false, n/a
(854) 827-3181, true, Ohio
(551) 440-9129, true, New Jersey
(438) 831-5800, true, Quebec
(506) 956-9501, true, New Brunswick
(957) 586-7378, false, n/a
(535) 343-3850, false, n/a
(777) 583-3988, false, n/a
(455) 821-6059, false, n/a
(364) 889-6509, true, Kentucky
(310) 811-4961, true, California
(878) 774-4954, true, Pennsylvania
(677) 630-5840, false, n/a
(797) 401-9806, false, n/a
(777) 610-4274, false, n/a
(394) 805-1138, false, n/a
(694) 989-4530, false, n/a
(639) 749-4434, true, Saskatchewan
(299) 355-1976, false, n/a
(518) 969-3438, true, New York
(517) 927-2162, true, Michigan
(223) 261-6043, true, Pennsylvania
(573) 584-3794, true, Missouri
(990) 835-9465, false, n/a
(359) 283-7304, false, n/a
(715) 920-2015, true, Wisconsin
(228) 726-5728, true, Mississippi
(564) 262-0603, true, Washington State
(794) 384-8347, false, n/a
(215) 407-0437, true, Pennsylvania
(643) 550-3845, false, n/a
(360) 204-5126, true, Washington State
(940) 470-2228, true, Texas
(729) 911-5325, false, n/a
(371) 380-3206, false, n/a
(271) 314-6532, false, n/a
(974) 255-4614, false, n/a
(751) 641-3910, false, n/a
(996) 821-6940, false, n/a
(679) 306-0571, false, n/a
(737) 236-7119, true, Texas
(637) 283-3547, false, n/a
(776) 960-0202, false, n/a
(853) 281-3766, false, n/a
(506) 381-8962, true, New Brunswick
(229) 260-7815, true, Georgia
(900) 500-8471, true, 
(400) 976-6001, false, n/a
(587) 510-4003, true, Alberta
(207) 470-1618, true, Maine
(651) 538-5679, true, Minnesota
(445) 431-9970, true, Philadelphia
(362) 418-9432, false, n/a
(994) 954-6093, false, n/a
(845) 214-1539, true, New York
(922) 666-9176, false, n/a
(944) 358-7088, false, n/a
(564) 432-3330, true, Washington State
(775) 302-5284, true, Nevada
(856) 734-9852, true, New Jersey
(933) 584-2646, false, n/a
(670) 351-9093, false, n/a
(298) 891-4571, false, n/a
(707) 330-6853, true, California
(732) 331-0297, true, New Jersey
(678) 719-2532, true, Georgia
(655) 809-2498, false, n/a
(879) 345-7272, false, n/a
(936) 844-5507, true, Texas
(794) 364-5014, false, n/a
(780) 315-0667, true, Alberta
(745) 712-7420, false, n/a
(371) 770-7265, false, n/a
(625) 574-1162, false, n/a
(485) 565-1866, false, n/a
(456) 502-4612, false, n/a
(843) 603-7339, true, South Carolina
(930) 489-0846, true, Indiana
(672) 835-1340, true, British Columbia
(519) 379-7381, true, Ontario
(538) 650-3255, false, n/a
(744) 475-4822, false, n/a
(778) 213-1689, true, British Columbia
(828) 611-4449, true, North Carolina
(274) 245-6627, false, n/a
(260) 479-2386, true, Indiana
(544) 926-3184, true, 
(298) 957-3896, false, n/a
(818) 292-1448, true, California
(854) 714-3860, true, Ohio
(515) 339-7384, true, Iowa
(579) 301-7930, true, Quebec
(944) 297-5620, false, n/a
(253) 317-2454, true, Washington State
(284) 831-7562, false, n/a
(701) 647-2304, true, North Dakota
(597) 853-3243, false, n/a
(821) 808-4686, false, n/a
(858) 986-7145, true, California
(983) 978-1394, false, n/a
(201) 694-7319, true, New Jersey
(540) 738-4262, true, Virginia
(754) 830-0174, true, Florida
(951) 419-5486, true, California
(767) 475-7937, false, n/a
(654) 614-0181, false, n/a
(598) 783-3382, false, n/a
(830) 797-8458, true, Texas
(437) 517-1874, true, Ontario
(628) 948-6066, true, California
(505) 299-7599, true, Albuquerque, NM
(868) 852-4374, false, n/a
(380) 450-3778, true, Ohio
(497) 261-1653, false, n/a
(972) 972-5132, true, Texas
(518) 920-4527, true, New York
(335) 373-0145, false, n/a
(349) 601-2923, false, n/a
(577) 588-1597, true, 
(840) 981-4736, false, n/a
(264) 813-1453, false, n/a
(276) 759-1270, true, Virginia
(734) 624-4498, true, Michigan
(260) 521-3014, true, Indiana
(328) 255-6961, false, n/a
(208) 431-5313, true, Idaho
(682) 452-1516, true, Texas
(252) 612-6218, true, North Carolina
(605) 931-4873, true, South Dakota
(986) 357-7335, true, Idaho
(619) 861-7003, true, California
(590) 860-3144, false, n/a
(675) 987-7983, false, n/a
(209) 446-3251, true, California
